id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-05-22 05:19:55,"{""short_code"":""YUrtmo"",""original_url"":""https://example.com/dawn/network/1""}"
2,2,393,created,2025-04-15 01:48:04,"{""short_code"":""Xn7LQo"",""original_url"":""https://example.com/ember/anchor/2""}"
3,3,225,created,2025-04-23 17:36:47,"{""short_code"":""uBbtTa"",""original_url"":""https://opswise.net/keen/uplink/3""}"
4,4,215,created,2025-07-08 10:44:36,"{""short_code"":""9ouykD"",""original_url"":""https://seeded.app/proud/anchor/4""}"
5,5,369,created,2025-03-16 00:53:26,"{""short_code"":""8P6iWj"",""original_url"":""https://relay.cloud/jade/journey/5""}"
6,6,374,created,2025-03-14 04:45:13,"{""short_code"":""KjHl3s"",""original_url"":""https://hackstack.io/mellow/engine/6""}"
7,7,117,created,2025-08-26 00:31:15,"{""short_code"":""X5nEbK"",""original_url"":""https://hackstack.io/tidy/signal/7""}"
8,8,199,created,2025-02-07 09:56:46,"{""short_code"":""iJy8AR"",""original_url"":""https://example.com/keen/beacon/8""}"
9,9,119,created,2026-01-17 20:32:30,"{""short_code"":""woSu5G"",""original_url"":""https://acme.dev/dawn/signal/9""}"
10,10,318,created,2025-03-02 14:26:12,"{""short_code"":""caecnF"",""original_url"":""https://seeded.app/silver/valley/10""}"
11,11,268,created,2025-11-24 19:53:35,"{""short_code"":""r6F1eA"",""original_url"":""https://hackstack.io/clear/signal/11""}"
12,12,282,created,2025-12-24 00:24:41,"{""short_code"":""UeL6ZG"",""original_url"":""https://opswise.net/keen/garden/12""}"
13,13,294,created,2026-01-08 22:05:22,"{""short_code"":""bjjeXu"",""original_url"":""https://hackstack.io/ivory/yard/13""}"
14,14,16,created,2025-02-14 04:52:54,"{""short_code"":""v2iP40"",""original_url"":""https://acme.dev/silver/island/14""}"
15,15,161,created,2025-03-23 04:11:10,"{""short_code"":""vxjWr6"",""original_url"":""https://acme.dev/jade/signal/15""}"
16,16,400,created,2025-12-04 19:51:53,"{""short_code"":""hgLfQL"",""original_url"":""https://seeded.app/clear/window/16""}"
17,17,353,created,2025-02-04 14:16:02,"{""short_code"":""8AIkMx"",""original_url"":""https://relay.cloud/ivory/trail/17""}"
18,18,127,created,2026-01-03 06:58:01,"{""short_code"":""RWKSyk"",""original_url"":""https://acme.dev/cobalt/pioneer/18""}"
19,19,105,created,2025-05-12 16:24:43,"{""short_code"":""sAZZ3G"",""original_url"":""https://acme.dev/navy/valley/19""}"
20,20,136,created,2025-04-19 08:44:37,"{""short_code"":""SvofdO"",""original_url"":""https://example.com/ivory/meadow/20""}"
21,21,329,created,2025-05-14 21:41:13,"{""short_code"":""uRHCAT"",""original_url"":""https://hackstack.io/ember/network/21""}"
22,22,122,created,2025-07-23 01:32:57,"{""short_code"":""972XvK"",""original_url"":""https://seeded.app/rapid/meadow/22""}"
23,23,338,created,2025-08-26 11:20:46,"{""short_code"":""GerbHl"",""original_url"":""https://relay.cloud/harbor/meadow/23""}"
24,24,180,created,2025-03-30 21:35:13,"{""short_code"":""5qONLc"",""original_url"":""https://relay.cloud/forest/beacon/24""}"
25,25,125,created,2025-11-18 14:50:25,"{""short_code"":""R23sqS"",""original_url"":""https://acme.dev/tidy/zenith/25""}"
26,26,114,created,2025-12-19 10:57:40,"{""short_code"":""6IUnOJ"",""original_url"":""https://relay.cloud/tidy/uplink/26""}"
27,27,389,created,2026-01-18 00:31:27,"{""short_code"":""A01Ou3"",""original_url"":""https://acme.dev/dawn/quartz/27""}"
28,28,200,created,2025-10-09 05:03:41,"{""short_code"":""as1iMj"",""original_url"":""https://opswise.net/dawn/pioneer/28""}"
29,29,400,created,2025-09-25 00:06:09,"{""short_code"":""DF4iZr"",""original_url"":""https://opswise.net/ivory/zenith/29""}"
30,30,180,created,2025-11-26 03:16:09,"{""short_code"":""Oq1697"",""original_url"":""https://acme.dev/lively/beacon/30""}"
31,31,44,created,2025-10-28 19:31:33,"{""short_code"":""C4w34a"",""original_url"":""https://relay.cloud/tidy/field/31""}"
32,32,357,created,2025-08-23 22:52:10,"{""short_code"":""0tC4xH"",""original_url"":""https://relay.cloud/vivid/garden/32""}"
33,33,75,created,2025-07-05 06:57:47,"{""short_code"":""mfZ2PS"",""original_url"":""https://seeded.app/harbor/meadow/33""}"
34,34,281,created,2025-05-23 11:36:29,"{""short_code"":""Vnx2C0"",""original_url"":""https://acme.dev/young/network/34""}"
35,35,50,created,2025-03-11 03:58:29,"{""short_code"":""A0EVVu"",""original_url"":""https://relay.cloud/young/orbit/35""}"
36,36,339,created,2025-09-14 12:02:37,"{""short_code"":""bGAHAP"",""original_url"":""https://relay.cloud/keen/signal/36""}"
37,37,234,created,2025-11-06 21:58:49,"{""short_code"":""agXFu0"",""original_url"":""https://relay.cloud/amber/meadow/37""}"
38,38,35,created,2025-02-15 02:30:02,"{""short_code"":""k9Mnec"",""original_url"":""https://example.com/keen/engine/38""}"
39,39,301,created,2025-12-20 06:44:16,"{""short_code"":""6Ans1k"",""original_url"":""https://example.com/brisk/delta/39""}"
40,40,96,created,2025-07-09 21:14:38,"{""short_code"":""gvKsod"",""original_url"":""https://opswise.net/jade/window/40""}"
41,41,278,created,2025-12-07 20:10:27,"{""short_code"":""RkQ37Y"",""original_url"":""https://seeded.app/rapid/island/41""}"
42,42,280,created,2025-01-25 20:47:28,"{""short_code"":""cmDUwr"",""original_url"":""https://seeded.app/vivid/zenith/42""}"
43,43,34,created,2025-02-01 22:00:41,"{""short_code"":""KwA3lL"",""original_url"":""https://example.com/brisk/network/43""}"
44,44,220,created,2026-01-16 21:14:24,"{""short_code"":""wcqwMg"",""original_url"":""https://hackstack.io/amber/window/44""}"
45,45,236,created,2025-03-19 06:46:20,"{""short_code"":""HcjK5Y"",""original_url"":""https://opswise.net/lively/journey/45""}"
46,46,233,created,2025-05-04 19:28:35,"{""short_code"":""lp8jXR"",""original_url"":""https://example.com/quiet/engine/46""}"
47,47,144,created,2025-07-19 07:06:14,"{""short_code"":""xvHaFF"",""original_url"":""https://relay.cloud/urban/window/47""}"
48,48,132,created,2025-07-02 08:46:25,"{""short_code"":""i3yXQv"",""original_url"":""https://example.com/brisk/garden/48""}"
49,49,303,created,2025-08-07 19:20:08,"{""short_code"":""BGf7l5"",""original_url"":""https://opswise.net/young/yard/49""}"
50,50,39,created,2025-08-19 13:23:24,"{""short_code"":""cQZF5I"",""original_url"":""https://example.com/ember/delta/50""}"
51,51,36,created,2025-12-10 14:08:18,"{""short_code"":""g8fVrQ"",""original_url"":""https://acme.dev/forest/signal/51""}"
52,52,21,created,2025-09-14 21:09:39,"{""short_code"":""Dmk96i"",""original_url"":""https://opswise.net/cobalt/garden/52""}"
53,53,264,created,2025-12-11 14:13:48,"{""short_code"":""C1ZWQW"",""original_url"":""https://example.com/ember/delta/53""}"
54,54,207,created,2025-06-16 23:35:40,"{""short_code"":""LJJcXZ"",""original_url"":""https://seeded.app/brisk/anchor/54""}"
55,55,393,created,2025-12-25 11:02:14,"{""short_code"":""ZVOJDc"",""original_url"":""https://seeded.app/keen/engine/55""}"
56,56,335,created,2026-01-10 19:52:17,"{""short_code"":""Q1pwq4"",""original_url"":""https://acme.dev/gold/uplink/56""}"
57,57,11,created,2025-01-01 23:15:17,"{""short_code"":""wYzFjs"",""original_url"":""https://acme.dev/calm/pioneer/57""}"
58,58,57,created,2025-10-17 15:33:34,"{""short_code"":""GZ5L81"",""original_url"":""https://relay.cloud/young/uplink/58""}"
59,59,232,created,2025-06-23 03:12:12,"{""short_code"":""5VdbxL"",""original_url"":""https://hackstack.io/ember/signal/59""}"
60,60,274,created,2025-08-03 16:04:14,"{""short_code"":""13WB9i"",""original_url"":""https://hackstack.io/jade/garden/60""}"
61,61,4,created,2025-11-26 14:03:11,"{""short_code"":""Eqmq0t"",""original_url"":""https://opswise.net/lively/signal/61""}"
62,62,238,created,2025-12-21 09:31:17,"{""short_code"":""iHC6bT"",""original_url"":""https://opswise.net/young/lagoon/62""}"
63,63,68,created,2025-05-16 06:26:09,"{""short_code"":""58yroS"",""original_url"":""https://example.com/quiet/harvest/63""}"
64,64,92,created,2025-03-03 16:34:10,"{""short_code"":""VHbgLS"",""original_url"":""https://example.com/ember/delta/64""}"
